s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2021-22,2,,,,False,False,False,True,0,1,0
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2022-23,3,,,,False,False,False,True,0,0,1
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2023-24,4,47495.0,5816.0,53311.0,False,False,False,False,0,0,1
22,Sarnath,Ancient Buddhist Site know as Chaukhandi stupa,2024-25,5,36423.0,5351.0,41774.0,False,False,False,False,0,0,1
129,Leh,Ancient Palace Leh,2019-20,0,56639.0,5671.0,62310.0,False,False,False,False,0,0,0
129,Leh,Ancient Palace Leh,2020-21,1,2047.0,6.0,2053.0,False,False,False,False,1,0,0
129,Leh,Ancient Palace Leh,2021-22,2,52402.0,176.0,52578.0,False,False,False,False,0,1,0
129,Leh,Ancient Palace Leh,2022-23,3,60052.0,2610.0,62662.0,False,False,False,False,0,0,1
129,Leh,Ancient Palace Leh,2023-24,4,87097.0,7924.0,95021.0,False,False,False,False,0,0,1
129,Leh,Ancient Palace Leh,2024-25,5,86277.0,7660.0,93937.0,False,False,False,False,0,0,1
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2019-20,0,311115.0,2489.0,313604.0,False,False,False,False,0,0,0
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2020-21,1,73727.0,57.0,73784.0,False,False,False,False,1,0,0
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2021-22,2,98754.0,119.0,98873.0,False,False,False,False,0,1,0
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2022-23,3,469058.0,1724.0,470782.0,False,False,False,False,0,0,1
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2023-24,4,991292.0,2721.0,994013.0,False,False,False,False,0,0,1
76,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,2024-25,5,1240354.0,2241.0,1242595.0,False,False,False,False,0,0,1
133,Patna,Ancient Site of Vikramshila,2019-20,0,65573.0,436.0,66009.0,False,False,False,False,0,0,0
133,Patna,Ancient Site of Vikramshila,2020-21,1,27583.0,,27583.0,False,True,False,True,1,0,0
133,Patna,Ancient Site of Vikramshila,2021-22,2,33322.0,0.0,33322.0,False,False,False,False,0,1,0
133,Patna,Ancient Site of Vikramshila,2022-23,3,75411.0,115.0,75526.0,False,False,False,False,0,0,1
133,Patna,Ancient Site of Vikramshila,2023-24,4,79240.0,588.0,79828.0,False,False,False,False,0,0,1
133,Patna,Ancient Site of Vikramshila,2024-25,5,97891.0,461.0,98352.0,False,False,False,False,0,0,1
123,Jaipur,"Ancient Site, Bhangarh",2019-20,0,190833.0,1893.0,192726.0,False,False,False,False,0,0,0
123,Jaipur,"Ancient Site, Bhangarh",2020-21,1,53946.0,85.0,54031.0,False,False,False,False,1,0,0
